ds,yhat,yhat_lower,yhat_upper
2015-02-02,26.075616617863723,25.676796238141637,26.46713330218432
2015-02-03,25.52883933709258,25.167788433237966,25.939849969752803
2015-02-04,25.53435522192364,25.13784769660665,25.949274134317317
2015-02-05,25.704048501678358,25.26602009091152,26.163401947228934
2015-02-06,26.030196279671372,25.48504609531139,26.589727486158093
2015-02-09,25.782773025779733,25.115788256733666,26.392837644108884
2015-02-10,25.235995744998313,24.46367683192126,25.996559161104344
2015-02-11,25.241511629841277,24.349641632367433,26.090872797562255
2015-02-12,25.41120490959121,24.363860151464667,26.424221368698213
2015-02-13,25.73735268761982,24.526558824456075,26.8700643016185
2015-02-17,24.94315215290404,23.49555510930572,26.28426769459327
2015-02-18,24.94866803775806,23.365699885496582,26.437020804106005
2015-02-19,25.11836131751471,23.32689504865442,26.80627315011019
2015-02-20,25.444509095538628,23.43589312323057,27.37750984740822
2015-02-23,25.197085841641275,23.03794917380758,27.400605452142766
2015-02-24,24.650308560831856,22.308061855735932,27.005060587850622
2015-02-25,24.655824445675698,22.03643681014594,27.213816335525667
2015-02-26,24.825517725427567,22.073784583909784,27.471010850664168
2015-02-27,25.15166550342788,22.140433250176827,28.09681630589808
2015-03-02,27.436273647550557,26.951804133219632,27.951207350146788
2015-03-03,27.366349836560453,26.8971718607504,27.836020669168146
2015-03-04,27.389135292154755,26.876048384880583,27.865885661601485
2015-03-05,27.67705533216001,27.180357787796765,28.19445196353451
2015-03-06,27.985284611191197,27.48088452325868,28.42173943086836
2015-03-09,27.735328615144248,27.25402835660433,28.215420487559697
2015-03-10,27.66540480414396,27.138474984355792,28.16818953388837
2015-03-11,27.688190259749483,27.17056986961559,28.16485102883363
2015-03-12,27.976110299760176,27.47732093747309,28.528296229981486
2015-03-13,28.28433957878839,27.744673881934972,28.812605302557184
2015-03-16,28.034383582737938,27.519262506210435,28.555921639467975
2015-03-17,27.964459771769988,27.432749295908316,28.50084992647412
2015-03-18,27.987245227344275,27.434679661103946,28.528115955152643
2015-03-19,28.275165267350978,27.75422830087142,28.8133773707967
2015-03-20,28.58339454638406,28.079715728170203,29.178458173134718
2015-03-23,28.333438550331355,27.78096649948708,28.942278512238108
2015-03-24,28.263514739337282,27.679286915947284,28.849758091624
2015-03-25,28.286300194939415,27.739885740687775,28.918882722535958
2015-03-26,28.574220234957266,27.970700178995212,29.188499216372218
2015-03-27,28.88244951397973,28.23002459581018,29.551709216980566
2015-03-30,28.63249351792505,27.947085864052543,29.323156888426848
2015-03-31,28.562569706936998,27.851922592364144,29.298417489377044
2015-04-01,27.56114670245136,27.002284499448844,28.12104966522234
2015-04-02,27.719373449006248,27.16757113627894,28.31457707449928
2015-04-06,27.682100022968427,27.090530117711413,28.263558963002655
2015-04-07,27.543036576524045,26.965943336546083,28.17014698856996
2015-04-08,27.510114342092564,26.961054919566273,28.108379293155934
2015-04-09,27.66834108863778,27.11037480927243,28.250758320530213
2015-04-10,27.791718194464153,27.179370641242315,28.363995293892486
2015-04-13,27.631067662608807,27.06343538041861,28.239317943046984
2015-04-14,27.492004216190917,26.94265188629163,28.07000141876934
2015-04-15,27.459081981734165,26.85166841269994,28.058372697067856
2015-04-16,27.617308728290368,26.994312449277885,28.22896726104364
2015-04-17,27.74068583405027,27.12345490780927,28.31217989023239
2015-04-20,27.580035302191305,26.98461819910242,28.217498034169978
2015-04-21,27.44097185583685,26.895282654153455,28.041052467412587
2015-04-22,27.408049621375568,26.775982499171302,28.013947927469907
2015-04-23,27.56627636794296,26.924462858232115,28.153935085112618
2015-04-24,27.68965347374988,27.068167006787213,28.334611184767923
2015-04-27,27.52900294185988,26.925816202388482,28.21267714288843
2015-04-28,27.389939495451372,26.807345872188677,28.075261623645783
2015-04-29,27.35701726101707,26.730692215029464,28.01346479629845
2015-04-30,27.515244007553427,26.931093847586244,28.16708537086287
2015-05-01,27.181416217336796,26.55666913853591,27.808732770991696
2015-05-04,27.043686991674118,26.472390083724815,27.696851355882465
2015-05-05,26.899597166883595,26.28980252849716,27.539757934597322
2015-05-06,26.869069093469292,26.269737449687614,27.527045573433664
2015-05-07,26.95353663726043,26.35731078075563,27.588812601671464
2015-05-08,27.136749907506292,26.522259747128622,27.77954381412789
2015-05-11,26.999020681812695,26.38634425143644,27.64376784962693
2015-05-12,26.854930857068993,26.242623714747175,27.485346292293954
2015-05-13,26.82440278366576,26.186853407964488,27.46692993269453
2015-05-14,26.90887032745262,26.271849315289383,27.54190728780459
2015-05-15,27.09208359767579,26.427801129921892,27.69253540032308
2015-05-18,26.95435437203629,26.31830257423216,27.600847033322346
2015-05-19,26.8102645472544,26.195981009715084,27.435501954050626
2015-05-20,26.779736473862492,26.102590200473653,27.417640842244765
2015-05-21,26.86420401765482,26.180992013637074,27.52795807543615
2015-05-22,27.04741728793019,26.36826167382041,27.728831388249716
2015-05-26,26.765598237439796,26.042376224297204,27.41194680245067
2015-05-27,26.735070164058858,26.13682101793147,27.42068739989681
2015-05-28,26.819537707847005,26.155929619200748,27.518113697949055
2015-05-29,27.002750978099684,26.32530782426553,27.713230380200525
2015-06-01,26.746795935398474,26.13034844126401,27.30564124822174
2015-06-02,26.59793671323551,26.023925758841624,27.18448463668882
2015-06-03,26.584231170367758,26.003694309607717,27.173132624982117
2015-06-04,26.695649018758992,26.120609182932764,27.27645832544926
2015-06-05,26.809572872746507,26.25652015451723,27.404007235571836
2015-06-08,26.69997187128674,26.12893389565464,27.298590567883984
2015-06-09,26.551112649123976,25.962961622020053,27.118144253435048
