ds,yhat,yhat_lower,yhat_upper
2013-02-01,19.134954409489943,18.86519427642859,19.419072643331592
2013-02-04,19.274275178166164,19.00412854073033,19.578020983996005
2013-02-05,19.187716848059033,18.88573284963817,19.489763974457105
2013-02-06,19.427053686146813,19.104595055087582,19.76724091141568
2013-02-07,19.561242286187436,19.221823792627543,19.895888539915266
2013-02-08,19.713150456004637,19.302330600309958,20.07860881055343
2013-02-11,19.85247122465799,19.453752679978273,20.264509363446233
2013-02-12,19.765912894522987,19.288368235392745,20.269187727992563
2013-02-13,20.005249732618985,19.47927741250704,20.538566892072442
2013-02-14,20.13943833264092,19.57730792407554,20.747682642592984
2013-02-15,20.291346502456776,19.64208725461328,20.971103536715294
2013-02-19,20.344108941013513,19.590682886562554,21.10211067774326
2013-02-20,20.583445779090823,19.769683735865183,21.461143737788795
2013-02-21,20.717634379132612,19.77884351270382,21.684387554956576
2013-02-22,20.869542548908917,19.832971388237635,21.915410302540984
2013-02-25,21.008863317579454,19.920937035363337,22.197489803174896
2013-02-26,20.922304987477467,19.744903791614238,22.154708723053574
2013-02-27,21.16164182556269,19.88857719121226,22.57840286623573
2013-02-28,21.295830425601288,19.913012935795,22.807993281320236
2013-03-01,20.16092534508433,19.89472218920852,20.442616785944278
2013-03-04,20.046670137369205,19.766028870438817,20.309443168433276
2013-03-05,20.042144321645694,19.76729097834137,20.312564147099483
2013-03-06,20.124543749253696,19.857930037370544,20.406592669087832
2013-03-07,20.203760586192928,19.89171343609678,20.49746463346886
2013-03-08,20.357025062370735,20.073813650447327,20.63974877136035
2013-03-11,20.242769854612156,19.959337185612487,20.5218358053288
2013-03-12,20.23824403888137,19.949216701431858,20.56465704434156
2013-03-13,20.320643466497256,20.012612311544032,20.638457327179037
2013-03-14,20.399860303444896,20.079350440049478,20.74008436705131
2013-03-15,20.55312477957413,20.221924251053352,20.913813705225337
2013-03-18,20.438869571813264,20.111390668704544,20.81918070464755
2013-03-19,20.434343756143875,20.066564236640904,20.82205969811356
2013-03-20,20.516743183741205,20.130120103540786,20.914307304387812
2013-03-21,20.595960020685588,20.1967642773925,21.024022826529066
2013-03-22,20.749224496818602,20.320205870046966,21.197476555776678
2013-03-25,20.634969289077034,20.180199571184076,21.10726114465199
2013-03-26,20.630443473383018,20.157587892097034,21.11410757092966
2013-03-27,20.71284290098515,20.201249902327422,21.245479107019367
2013-03-28,20.792059737948822,20.24107304751805,21.359818364845324
2013-04-01,19.906532547202406,19.623654033746742,20.19472114453549
2013-04-02,19.87479726964918,19.58379406921757,20.185606507818807
2013-04-03,19.85150160039482,19.56747707229332,20.154727957187134
2013-04-04,19.83047658911132,19.555391070639782,20.12063105104277
2013-04-05,19.881983109701437,19.596955518653683,20.18298424535517
2013-04-08,19.710320099676988,19.410757876411033,20.01843619436482
2013-04-09,19.678584822078683,19.366063050819317,20.00820097630916
2013-04-10,19.655289152828775,19.340057001020558,19.97681073949631
2013-04-11,19.63426414155345,19.31249862380642,19.971942701028304
2013-04-12,19.685770662157434,19.352615010905264,20.032275581128953
2013-04-15,19.514107652068457,19.145272312675054,19.848389561346178
2013-04-16,19.482372374516153,19.149883779147668,19.825259419080595
2013-04-17,19.45907670526286,19.081707182387504,19.82079302659102
2013-04-18,19.438051693995575,19.03788935785142,19.860478031466627
2013-04-19,19.489558214592954,19.070734538778364,19.931618163061078
2013-04-22,19.317895204501223,18.86776094433141,19.768196992531074
2013-04-23,19.286159926953626,18.829121925819514,19.77941062716437
